Spesifikasi Toyota Vellfire
Mesin
Seri Mesin	2AR-FE
Tipe Mesin	2AR-FE, In-Line 4 Cylinders, 16-valve, DOHC, Dual VVT-i
Isi Silinder (Cc)	2,494
Diameter X Langkah (Mm)	90.0 x 98.0
Daya Maksimum (Ps/Rpm)	180/6,000
Torsi Maksimum	23.9/4,100 (Kgm/Rpm)
Sistem Pemasukan Bahan Bakar	EFI
Kapasitas Tangki (Liter)	75
Dimensi
Panjang	4,93
Lebar	1850
Tinggi	1895
Jarak Poros Roda	3000
Jarak Pijak Depan	1575
Jarak Pijak Belakang	1570
Jarak Terendah	160
Sasis
Transmisi	CVT
Suspensi Depan	MacPherson Strut with Torsion Bar
Suspensi Belakang	Double Wishbone with Torsion Bar
Rem Depan	Ventilated Disc
Rem Belakang	Ventilated Disc
Steering Gear	Rack and Pinion with EPS
Ukuran Ban	235/50/R18
